"Points:0","Points:1","Points:2","arc_length","p"
0.18893,0.0024418,0,0,-66.624
0.18845,0.0018744,0,0.00073955,-34.5
0.18775,0.0022559,0,0.0015379,52.156
0.18704,0.0026255,0,0.0023371,53.013
0.18626,0.0030142,0,0.0032113,63.223
0.18547,0.0033868,0,0.004086,67.647
0.18456,0.0037911,0,0.0050816,72.465
0.18364,0.0041757,0,0.0060787,75.886
0.18271,0.0045423,0,0.0070787,78.409
0.18177,0.0048931,0,0.0080838,80.453
0.18083,0.0052253,0,0.0090819,82.058
0.17988,0.0055425,0,0.010079,83.376
0.17893,0.0058461,0,0.011076,84.498
0.17798,0.0061376,0,0.012074,85.471
0.17701,0.0064195,0,0.013079,86.356
0.17605,0.0066898,0,0.014081,87.117
0.17508,0.0069489,0,0.015078,87.772
0.17412,0.0071987,0,0.016075,88.371
0.17315,0.0074398,0,0.017073,88.901
0.17218,0.0076734,0,0.018072,89.362
0.1712,0.0078998,0,0.019075,89.78
0.17022,0.0081195,0,0.020082,90.208
0.16924,0.008331,0,0.021084,90.585
0.16826,0.0085346,0,0.022081,90.853
0.16728,0.0087324,0,0.023083,91.118
0.16629,0.0089265,0,0.024098,91.426
0.16529,0.0091141,0,0.025113,91.715
0.1643,0.0092941,0,0.026119,91.945
0.16331,0.0094671,0,0.027119,92.129
0.16233,0.009634,0,0.028117,92.303
0.16134,0.0097956,0,0.029117,92.477
0.16036,0.0099519,0,0.030117,92.599
0.15937,0.010103,0,0.031116,92.655
0.15837,0.01025,0,0.032127,92.767
0.15736,0.010393,0,0.033148,92.914
0.15634,0.010532,0,0.034171,93.018
0.15533,0.010665,0,0.03519,93.127
0.15433,0.010791,0,0.036201,93.222
0.15333,0.010912,0,0.037204,93.284
0.15234,0.011027,0,0.038201,93.305
0.15135,0.011138,0,0.039199,93.292
0.15035,0.011245,0,0.040202,93.319
0.14935,0.011347,0,0.041211,93.357
0.14835,0.011445,0,0.042219,93.356
0.14735,0.011539,0,0.043224,93.368
0.14635,0.011627,0,0.044225,93.343
0.14535,0.011711,0,0.045224,93.259
0.14435,0.011792,0,0.046229,93.209
0.14334,0.011868,0,0.047241,93.153
0.14233,0.011941,0,0.048257,93.072
0.14131,0.012009,0,0.049278,93.008
0.14029,0.012074,0,0.0503,92.93
0.13927,0.012134,0,0.051325,92.847
0.13824,0.012191,0,0.05235,92.747
0.13722,0.012243,0,0.053375,92.605
0.1362,0.012291,0,0.054398,92.461
0.13518,0.012336,0,0.05542,92.344
0.13416,0.012376,0,0.056439,92.216
0.13314,0.012412,0,0.057455,92.056
0.13213,0.012444,0,0.058468,91.91
0.13112,0.012473,0,0.059476,91.769
0.13012,0.012498,0,0.06048,91.601
0.12912,0.012519,0,0.06148,91.415
0.12812,0.012537,0,0.062477,91.225
0.12713,0.012552,0,0.063475,91.016
0.12613,0.012563,0,0.064472,90.803
0.12513,0.01257,0,0.065469,90.583
0.12414,0.012575,0,0.066466,90.355
0.12314,0.012576,0,0.067463,90.114
0.12214,0.012574,0,0.06846,89.866
0.12114,0.012569,0,0.069457,89.642
0.12015,0.01256,0,0.070454,89.397
0.11915,0.012549,0,0.071451,89.143
0.11815,0.012534,0,0.072448,88.907
0.11715,0.012517,0,0.073447,88.658
0.11615,0.012496,0,0.074449,88.39
0.11515,0.012472,0,0.075455,88.106
0.11414,0.012446,0,0.076463,87.828
0.11313,0.012416,0,0.077475,87.546
0.11211,0.012383,0,0.07849,87.251
0.1111,0.012347,0,0.079507,86.938
0.11008,0.012308,0,0.080525,86.61
0.10906,0.012266,0,0.081546,86.287
0.10804,0.012221,0,0.082568,85.939
0.10702,0.012173,0,0.08359,85.586
0.106,0.012122,0,0.084612,85.256
0.10498,0.012068,0,0.085633,84.926
0.10396,0.012012,0,0.086653,84.584
0.10294,0.011953,0,0.087671,84.247
0.10193,0.011891,0,0.088686,83.892
0.10092,0.011827,0,0.089697,83.521
0.099915,0.011761,0,0.090705,83.164
0.098915,0.011692,0,0.091707,82.755
0.097919,0.011621,0,0.092706,82.339
0.096919,0.011548,0,0.093708,81.969
0.095916,0.011471,0,0.094714,81.587
0.094912,0.011392,0,0.095721,81.196
0.09391,0.011311,0,0.096727,80.791
0.092912,0.011227,0,0.097729,80.366
0.091916,0.011141,0,0.098728,79.936
0.090922,0.011053,0,0.099725,79.482
0.089929,0.010962,0,0.10072,79
0.088929,0.010869,0,0.10173,78.495
0.087918,0.010772,0,0.10274,78.009
0.086898,0.010672,0,0.10377,77.531
0.085872,0.010568,0,0.1048,77.042
0.084844,0.010462,0,0.10583,76.545
0.083817,0.010354,0,0.10687,76.009
0.082795,0.010244,0,0.10789,75.474
0.081781,0.010133,0,0.10891,74.964
0.08078,0.01002,0,0.10992,74.419
0.079788,0.0099067,0,0.11092,73.849
0.078798,0.0097912,0,0.11192,73.286
0.077807,0.0096735,0,0.11291,72.699
0.076812,0.0095532,0,0.11392,72.087
0.075807,0.0094298,0,0.11493,71.466
0.074789,0.0093025,0,0.11595,70.837
0.073761,0.0091718,0,0.11699,70.18
0.072726,0.0090381,0,0.11803,69.513
0.071689,0.0089021,0,0.11908,68.832
0.070656,0.0087644,0,0.12012,68.111
0.069628,0.0086254,0,0.12116,67.386
0.068606,0.0084853,0,0.12219,66.708
0.067602,0.0083458,0,0.1232,65.97
0.066615,0.0082068,0,0.1242,65.185
0.065627,0.0080662,0,0.1252,64.415
0.06464,0.0079238,0,0.1262,63.622
0.063644,0.0077787,0,0.1272,62.795
0.062639,0.0076305,0,0.12822,61.938
0.061623,0.0074792,0,0.12925,61.072
0.060601,0.0073253,0,0.13028,60.183
0.059578,0.0071698,0,0.13131,59.274
0.058558,0.0070133,0,0.13235,58.366
0.057547,0.0068568,0,0.13337,57.441
0.056549,0.0067012,0,0.13438,56.463
0.055563,0.0065461,0,0.13538,55.475
0.054575,0.0063898,0,0.13638,54.488
0.053589,0.0062326,0,0.13738,53.466
0.052604,0.0060747,0,0.13837,52.409
0.05162,0.005916,0,0.13937,51.31
0.050629,0.0057556,0,0.14037,50.177
0.049631,0.0055932,0,0.14139,49.025
0.048628,0.0054295,0,0.1424,47.857
0.047627,0.0052654,0,0.14342,46.679
0.046631,0.0051019,0,0.14443,45.463
0.045643,0.0049395,0,0.14543,44.188
0.044651,0.0047764,0,0.14643,42.893
0.043656,0.0046126,0,0.14744,41.599
0.042661,0.004449,0,0.14845,40.271
0.041672,0.0042865,0,0.14945,38.908
0.040688,0.0041254,0,0.15045,37.514
0.039703,0.0039649,0,0.15145,36.075
0.038713,0.0038042,0,0.15245,34.599
0.037719,0.0036439,0,0.15346,33.122
0.036725,0.0034848,0,0.15446,31.63
0.035736,0.0033279,0,0.15546,30.057
0.034745,0.0031724,0,0.15647,28.445
0.033747,0.0030176,0,0.15748,26.874
0.032746,0.0028646,0,0.15849,25.315
0.031749,0.0027148,0,0.1595,23.739
0.030758,0.0025685,0,0.1605,22.154
0.029769,0.0024256,0,0.1615,20.566
0.028779,0.0022859,0,0.1625,18.967
0.027786,0.0021493,0,0.1635,17.367
0.026787,0.002016,0,0.16451,15.836
0.025786,0.001887,0,0.16552,14.393
0.024788,0.001763,0,0.16652,13.021
0.023796,0.0016445,0,0.16752,11.667
0.022799,0.0015308,0,0.16853,10.385
0.021795,0.0014219,0,0.16954,9.2417
0.020786,0.0013183,0,0.17055,8.1851
0.019777,0.0012203,0,0.17156,7.2121
0.018768,0.0011283,0,0.17258,6.3555
0.017764,0.0010425,0,0.17359,5.66
0.016765,0.00096282,0,0.17459,5.2012
0.01577,0.00088873,0,0.17559,3.8608
0.014775,0.00081968,0,0.17658,2.2052
0.013635,0.0007464,0,0.17773,1.3323
0.012493,0.00067921,0,0.17887,0.8093
0.01135,0.00061807,0,0.18001,-1.5472
0.010354,0.00057005,0,0.18101,-4.4971
0.0093384,0.00052689,0,0.18203,-6.6572
0.0083215,0.00049082,0,0.18304,-10.264
0.0073035,0.00046379,0,0.18406,-15.031
0.0062844,0.00044883,0,0.18508,-20.993
0.0052643,0.00045068,0,0.1861,-28.538
0.004244,0.00047728,0,0.18712,-39.438
0.0032264,0.00054217,0,0.18814,-60.711
0.0022181,0.0006751,0,0.18916,-92.16
0.0012436,0.0009576,0,0.19017,-73.907
0.00045735,0.0016108,0,0.1912,47.375
0.00015338,0.002556,0,0.19219,164.67
0.00011698,0.0035597,0,0.19319,196.98
0.00024678,0.0045581,0,0.1942,189.27
0.00048656,0.0055384,0,0.19521,166.65
0.00081019,0.0064908,0,0.19622,138.09
0.0012067,0.0074138,0,0.19722,106.79
0.0016699,0.0083085,0,0.19823,73.847
0.0021911,0.009169,0,0.19923,41.784
0.0027643,0.0099961,0,0.20024,11.786
0.0033804,0.010787,0,0.20124,-15.743
0.0040379,0.011547,0,0.20225,-40.574
0.0047299,0.012276,0,0.20325,-62.702
0.0054509,0.012975,0,0.20426,-82.238
0.0061974,0.013646,0,0.20526,-99.618
0.0069671,0.014291,0,0.20626,-115.1
0.0077594,0.014913,0,0.20727,-128.71
0.0085658,0.015509,0,0.20828,-140.83
0.0093948,0.016089,0,0.20929,-151.82
0.010233,0.016645,0,0.21029,-161.82
0.011085,0.017183,0,0.2113,-171.04
0.011946,0.017701,0,0.21231,-179.56
0.01282,0.018204,0,0.21331,-187.2
0.0137,0.018688,0,0.21432,-194.31
0.014594,0.019161,0,0.21533,-201.04
0.015489,0.019614,0,0.21633,-207.18
0.016392,0.020054,0,0.21734,-213.14
0.017305,0.020482,0,0.21834,-219.04
0.018224,0.020896,0,0.21935,-224.56
0.019143,0.021295,0,0.22036,-229.76
0.020069,0.021683,0,0.22136,-234.81
0.021007,0.022061,0,0.22237,-239.59
0.021953,0.022428,0,0.22338,-244.06
0.022897,0.022781,0,0.22439,-248.21
0.023839,0.02312,0,0.22539,-252.2
0.024786,0.023449,0,0.2264,-256.46
0.025746,0.02377,0,0.22741,-260.74
0.026706,0.024078,0,0.22842,-264.43
0.027664,0.024373,0,0.22942,-267.8
0.02863,0.024659,0,0.23043,-271.28
0.029598,0.024934,0,0.23143,-274.48
0.030567,0.025197,0,0.23244,-277.36
0.031551,0.025453,0,0.23345,-280.47
0.032538,0.025698,0,0.23447,-283.25
0.033515,0.025929,0,0.23548,-285.47
0.034489,0.026148,0,0.23647,-287.65
0.035466,0.026356,0,0.23747,-289.73
0.036449,0.026555,0,0.23847,-291.5
0.037432,0.026742,0,0.23948,-292.93
0.038427,0.026921,0,0.24049,-294.35
0.039429,0.027089,0,0.2415,-295.52
0.040428,0.027246,0,0.24251,-296.07
0.041423,0.027391,0,0.24352,-296.19
0.042412,0.027525,0,0.24452,-296.31
0.043403,0.027648,0,0.24552,-296.33
0.044395,0.027761,0,0.24651,-295.8
0.045388,0.027863,0,0.24751,-294.87
0.046384,0.027956,0,0.24851,-293.67
0.047384,0.028039,0,0.24952,-292.14
0.048385,0.028111,0,0.25052,-290.29
0.049387,0.028175,0,0.25152,-288.17
0.050389,0.028228,0,0.25253,-285.78
0.05139,0.028272,0,0.25353,-283.11
0.05239,0.028307,0,0.25453,-280.22
0.053388,0.028334,0,0.25553,-277.15
0.054387,0.028352,0,0.25653,-273.95
0.055388,0.028362,0,0.25753,-270.59
0.056389,0.028364,0,0.25853,-267.03
0.057391,0.028359,0,0.25953,-263.39
0.058392,0.028347,0,0.26053,-259.72
0.059391,0.028328,0,0.26153,-256.04
0.060389,0.028303,0,0.26253,-252.32
0.061388,0.028272,0,0.26353,-248.52
0.062388,0.028236,0,0.26453,-244.74
0.063388,0.028194,0,0.26553,-241.01
0.064388,0.028148,0,0.26653,-237.35
0.065388,0.028097,0,0.26753,-233.78
0.066386,0.028042,0,0.26853,-230.31
0.067383,0.027983,0,0.26953,-226.96
0.068379,0.02792,0,0.27053,-223.73
0.069375,0.027854,0,0.27153,-220.6
0.070371,0.027785,0,0.27253,-217.58
0.071366,0.027712,0,0.27352,-214.65
0.072362,0.027637,0,0.27452,-211.84
0.07336,0.027559,0,0.27552,-209.15
0.074362,0.027477,0,0.27653,-206.55
0.075368,0.027393,0,0.27754,-204.02
0.076377,0.027305,0,0.27855,-201.55
0.077388,0.027215,0,0.27957,-199.17
0.0784,0.027122,0,0.28058,-196.87
0.079411,0.027026,0,0.2816,-194.6
0.08042,0.026928,0,0.28261,-192.38
0.081425,0.026828,0,0.28362,-190.24
0.082426,0.026727,0,0.28463,-188.15
0.083421,0.026623,0,0.28563,-186.11
0.084419,0.026517,0,0.28663,-184.15
0.085421,0.026408,0,0.28764,-182.25
0.086423,0.026297,0,0.28865,-180.37
0.087423,0.026184,0,0.28966,-178.5
0.088418,0.02607,0,0.29066,-176.63
0.08941,0.025953,0,0.29165,-174.82
0.090401,0.025835,0,0.29265,-172.99
0.091394,0.025715,0,0.29365,-171.25
0.092391,0.025592,0,0.29466,-169.7
0.093393,0.025467,0,0.29567,-168.06
