"Points:0","Points:1","Points:2","arc_length","p"
-0.008026,1.7394e-05,0,0,-86.332
-0.0081208,0.00021757,0,0.00022149,-14.197
-0.0081789,0.00046876,0,0.00047931,71.261
-0.0081789,0.00079655,0,0.00080711,139.28
-0.008125,0.0012002,0,0.0012143,175.85
-0.008026,0.0015195,0,0.0015486,188.92
-0.0079057,0.0018203,0,0.0018726,191.48
-0.0076874,0.0023141,0,0.0024125,191.55
-0.00761,0.0025077,0,0.0026209,190.85
-0.0075336,0.0027721,0,0.0028962,189.07
-0.0072731,0.0033614,0,0.0035405,184
-0.0071157,0.0036839,0,0.0038994,176.67
-0.0066921,0.0043332,0,0.0046746,170.35
-0.0065112,0.0046537,0,0.0050427,166.33
-0.0063571,0.0050574,0,0.0054748,155.07
-0.0062503,0.0052468,0,0.0056922,143.51
-0.0059824,0.0056574,0,0.0061825,139.94
-0.005654,0.006363,0,0.0069607,114.25
-0.0050147,0.0069582,0,0.0078343,99.848
-0.0047837,0.0072734,0,0.008225,119.14
-0.0046799,0.0074558,0,0.0084349,125.7
-0.0045074,0.0079109,0,0.0089216,71.69
-0.0037695,0.0085979,0,0.0099297,40.213
-0.0035221,0.0089304,0,0.010344,44.217
-0.0031622,0.0092216,0,0.010807,36.106
-0.0028296,0.009461,0,0.011217,58.914
-0.002415,0.010018,0,0.011911,45.601
-0.0020259,0.010417,0,0.012469,14.56
-0.0017867,0.010739,0,0.01287,10.092
-0.001652,0.010864,0,0.013054,-22.278
-0.00047093,0.011601,0,0.014446,-25.448
0.0001785,0.012206,0,0.015333,-2.4963
0.00083377,0.012817,0,0.016229,-26.047
0.0014862,0.013425,0,0.017121,-77.802
0.0022007,0.013803,0,0.01793,-81.548
0.0032686,0.014469,0,0.019188,-75.371
0.0034865,0.014672,0,0.019486,-41.947
0.0037095,0.015054,0,0.019928,-97.55
0.0043113,0.015324,0,0.020588,-186.47
0.0052829,0.015644,0,0.021611,-126.42
0.0060959,0.016074,0,0.02253,-100.89
0.0067919,0.016334,0,0.023273,-80.045
0.007115,0.016613,0,0.0237,-73.238
0.0077982,0.016869,0,0.02443,-80.502
0.0081237,0.017172,0,0.024875,-84.007
0.0086459,0.017448,0,0.025466,-114.19
0.0098497,0.018191,0,0.02688,-180.83
0.010385,0.01832,0,0.027431,-141.33
0.010947,0.018667,0,0.028091,-95.906
0.012023,0.019069,0,0.029239,-134.16
0.013061,0.019618,0,0.030414,-141.29
0.014092,0.020054,0,0.031533,-143.92
0.014536,0.020326,0,0.032053,-152.2
0.015436,0.02068,0,0.033021,-177.26
0.016338,0.021034,0,0.03399,-171.39
0.017239,0.021389,0,0.034959,-169.48
0.018139,0.021743,0,0.035925,-173.81
0.019042,0.022098,0,0.036896,-181.95
0.019944,0.022453,0,0.037865,-188.46
0.020844,0.022807,0,0.038832,-207.91
0.022111,0.023172,0,0.040151,-217.33
0.022959,0.023439,0,0.04104,-201.97
0.023812,0.023707,0,0.041934,-199.18
0.024664,0.023976,0,0.042827,-205.5
0.02551,0.024242,0,0.043714,-218.65
0.026542,0.024492,0,0.044776,-224.12
0.027577,0.024742,0,0.045841,-214.59
0.028608,0.024992,0,0.046902,-209.57
0.029639,0.025241,0,0.047962,-210.1
0.030675,0.025492,0,0.049028,-212.7
0.031705,0.025741,0,0.050088,-217.16
0.032732,0.02599,0,0.051145,-223.45
0.033764,0.02624,0,0.052206,-236.66
0.034807,0.026436,0,0.053268,-242.38
0.035847,0.026631,0,0.054326,-238.43
0.036939,0.026814,0,0.055434,-236.94
0.038039,0.026998,0,0.056549,-235.79
0.039139,0.027181,0,0.057664,-240.48
0.040198,0.027324,0,0.058732,-241.12
0.041252,0.027466,0,0.059796,-236.78
0.042307,0.027608,0,0.06086,-236.87
0.043365,0.02775,0,0.061927,-242.11
0.04446,0.027866,0,0.063029,-246
0.04556,0.027982,0,0.064135,-247.67
0.046491,0.028052,0,0.065069,-244.52
0.047422,0.028122,0,0.066003,-238.04
0.048351,0.028192,0,0.066934,-237.07
0.049277,0.028262,0,0.067863,-239.96
0.050224,0.028308,0,0.068811,-240.15
0.051168,0.028355,0,0.069756,-235.41
0.052116,0.028401,0,0.070705,-235.81
0.05317,0.028422,0,0.071759,-235.43
0.054225,0.028442,0,0.072814,-230
0.055281,0.028463,0,0.07387,-228
0.056243,0.028463,0,0.074832,-225.02
0.057204,0.028463,0,0.075794,-220.12
0.058166,0.028463,0,0.076756,-217.75
0.059128,0.028463,0,0.077718,-218.59
0.060142,0.028434,0,0.078732,-216.84
0.061155,0.028405,0,0.079745,-210.31
0.062166,0.028375,0,0.080757,-205.84
0.063175,0.028346,0,0.081766,-203.35
0.064182,0.028317,0,0.082774,-201.79
0.06519,0.028288,0,0.083782,-201.44
0.0662,0.028259,0,0.084793,-203.74
0.067115,0.028205,0,0.085709,-201.64
0.068033,0.028151,0,0.086629,-195.81
0.068952,0.028097,0,0.08755,-192.54
0.069873,0.028043,0,0.088472,-190.76
0.070921,0.027964,0,0.089523,-189.08
0.071969,0.027885,0,0.090574,-185.05
